NAME;ARTIKUL
"PES 3/8&quot;(9.5/4.8мм,чер.) Термоус.трубка&quot;";dsg8980095952
"PES 1/2&quot;(12.7/6.4мм,проз.) Термоус.трубка&quot;";dsg8980127012
"PES 1/2&quot;(12.7/6.4мм,жел.) Термоус.трубка&quot;";dsg8980127102
"PES 1/2&quot;(12.7/6.4мм,крас.) Термоус.трубка&quot;";dsg8980127302
"PES 1/2&quot;(12.7/6.4мм,син.) Термоус.трубка&quot;";dsg8980127502
"PES 1/2&quot;(12.7/6.4мм,зел.) Термоус.трубка&quot;";dsg8980127602
"PES 1/2&quot;(12.7/6.4мм,бел.) Термоус.трубка&quot;";dsg8980127902
"PES 1/2&quot;(12.7/6.4мм,чер.) Термоус.трубка&quot;";dsg8980127952
"PES 3/4&quot;(19.0/9.5мм,проз.) Термоус.трубка&quot;";dsg8980190012
"PES 3/4&quot;(19.0/9.5мм,жел.) Термоус.трубка&quot;";dsg8980190102
"PES 3/4&quot;(19.0/9.5мм,крас.) Термоус.трубка&quot;";dsg8980190302
"PES 3/4&quot;(19.0/9.5мм,син.) Термоус.трубка&quot;";dsg8980190502
"PES 3/4&quot;(19.0/9.5мм,зел.) Термоус.трубка&quot;";dsg8980190602
"PES 3/4&quot;(19.0/9.5мм,бел.) Термоус.трубка&quot;";dsg8980190902
"PES 3/4&quot;(19.0/9.5мм,чер.) Термоус.трубка&quot;";dsg8980190952
"PES 1&quot;(25.4/12.7мм,проз.) Термоус.трубка&quot;";dsg8980254012
"PES 1&quot;(25.4/12.7мм,жел.) Термоус.трубка&quot;";dsg8980254102
"PES 1&quot;(25.4/12.7мм,крас.) Термоус.трубка&quot;";dsg8980254302
"PES 1&quot;(25.4/12.7мм,син.) Термоус.трубка&quot;";dsg8980254502
"PES 1&quot;(25.4/12.7мм,зел.) Термоус.трубка&quot;";dsg8980254602
"PES 1&quot;(25.4/12.7мм,бел.) Термоус.трубка&quot;";dsg8980254902
"PES 1&quot;(25.4/12.7мм,чер.) Термоус.трубка&quot;";dsg8980254952
"PES 1 1/2&quot;(38.0/19.0мм,проз.) Термоус.трубка&quot;";dsg8980380012
"PES 1 1/2&quot;(38.0/19.0мм,жел.) Термоус.трубка&quot;";dsg8980380102
"PES 1 1/2&quot;(38.0/19.0мм,крас.) Термоус.трубка&quot;";dsg8980380302
"PES 1 1/2&quot;(38.0/19.0мм,син.) Термоус.трубка&quot;";dsg8980380502
"PES 1 1/2&quot;(38.0/19.0мм,зел.) Термоус.трубка&quot;";dsg8980380602
"PES 1 1/2&quot;(38.0/19.0мм,бел.) Термоус.трубка&quot;";dsg8980380902
"PES 1 1/2&quot;(38.0/19.0мм,чер.) Термоус.трубка&quot;";dsg8980380952
CCB2 33,0/14,0 мм Термоусадочные двупалые перчатки;dsgA6450250BK00PC
CCB2 50,0/21,0 мм Термоусадочные двупалые перчатки;dsgA6450260BK00PC
CCB3 38,0/11,0 мм Термоусадочные трехпалые перчатки;dsgA6450350BK00PC
CCB3 60,0/24,0 мм Термоусадочные трехпалые перчатки;dsgA6450360BK00PC
CCB3 80,0/36,0 мм Термоусадочные трехпалые перчатки;dsgA6450370BK00PC
CCB3 110,0/48,0 мм Термоусадочные трехпалые перчатки;dsgA6450380BK00PC
CCB3 125,0/55,0 мм Термоусадочные трехпалые перчатки;dsgA6450390BK00PC
CCB4 38,0/11,0 мм Термоусадочные четырехпалые перчатки;dsgA6450410BK00PC
CCB4 55,0/20,0 мм Термоусадочные четырехпалые перчатки;dsgA6450420BK00PC
CCB4 72,0/25,0 мм Термоусадочные четырехпалые перчатки;dsgA6450430BK00PC
CCB4 100,0/35,0 мм Термоусадочные четырехпалые перчатки;dsgA6450440BK00PC
CCB4 125,0/54,0 мм Термоусадочные четырехпалые перчатки;dsgA6450450BK00PC
CCAP 0400 (10,2/3,8 мм, черн) Термоусадочный колпачок;dsgA70040002
CCAP 0750 (19,1/5,6 мм, черн) Термоусадочный колпачок;dsgA70075002
"CVN7 190 3/4&quot; (19,0/9,5 мм, голубая) Термоус. трубка";dsgA92075000BES500
"CVN7 254 1&quot; (25,4/12,7 мм, голубая) Термоус. трубка";dsgA92100000BES500
"Термоусадочная трубка 5/8&quot;(15.8мм) (прозрачная) PBF";dsgC53062500CRS500
"PAS 3&quot;(76.0/38.0мм,чер.) Термоус.трубка";dsgC54300000BKS2
"PAS 4&quot;(102.0/51.0мм,чер.) Термоус.трубка";dsgC54400000BKST00
"CPX876  1/16&quot;(1,6/0,8 мм, черн.) Термоус. трубка";dsgC6210016952
"CPX876  3/16&quot;(4,8/2,4 мм, черн.) Термоус. трубка";dsgC6210048952
CMVBT-1(25.4ммХ1,06ммХ7,62м) Термоусадочная лента красн.;dsgC81401000
Термоусадочная перчатка CCB 4 38/11;dsgCCB-4-38-11
Термоусадочная перчатка CCB 4 55/20;dsgCCB-4-55-20
Термоусадочная трубка PES 19,0мм (3/4', крас;dsgPES-19RD
Термоусадочная трубка PES 9,5мм (3/8', синяя;dsgPES-9_5BL
Термоусадочная трубка PES 9,5мм (3/8', зелен;dsgPES-9_5GR
Термоусадочная трубка PES 9,5мм (3/8', красн;dsgPES-9_5RD
Термоусадочная трубка PES 9,5мм (3/8', желта;dsgPES-9_5YL
PMP-K 50/16 Термоус.трубка с клеем;dsgPMP-K50BK
PMP-K 63/19 Термоус.трубка с клеем;dsgPMP-K63BK
"Набор ТУТ &quot;Авто&quot;";dsgTUT-AUTO
"Набор ТУТ &quot;Колор №1&quot;";dsgTUT-COLOR1
"Набор ТУТ &quot;Колор №2&quot;";dsgTUT-COLOR2
"Набор ТУТ &quot;Колор 1 синий&quot;";dsgTUT-Color1B
"Набор ТУТ &quot;Колор 1 красный&quot;";dsgTUT-Color1R
"Набор ТУТ &quot;Колор 2 синий&quot;";dsgTUT-Color2B
"Набор ТУТ &quot;Колор 2 красный&quot;";dsgTUT-Color2R
"Набор ТУТ &quot;Электро&quot;";dsgTUT-ELECTRO
"Набор ТУТ &quot;Кримп № 1&quot;";dsgTUT-KRIMP1
"Набор ТУТ &quot;Кримп № 2&quot;";dsgTUT-KRIMP2
"Набор ТУТ &quot;Кримп № 3&quot;";dsgTUT-KRIMP3
"Набор ТУТ &quot;Мастер&quot;";dsgTUT-MASTER
"Набор ТУТ &quot;Сплайс № 1&quot;";dsgTUT-SPLICE1
"Набор ТУТ &quot;Сплайс № 2&quot;";dsgTUT-SPLICE2
"Набор ТУТ &quot;Сплайс № 3&quot;";dsgTUT-SPLICE3
Термоусадочная трубка F-105 76,0мм черная;dsgf105black
Термоусадочная трубка DERAY-HB 19,0мм (3/4', черн);dsghb19black
"Термоусадочная трубка DERAY-HB 25,4мм (1&quot;, черн)";dsghb25black
Термоусадочная трубка 38мм (синяя) PBF  38,0;dsgpbf38blue
Термоусадочная трубка 76,0мм (зелен) PBF  76,0/38;dsgpbf76green
Термоусадочная трубка PES 19,0мм (3/4', крас;dsgpes19red
Термоусадочная трубка PES 9,5мм (3/8', синяя;dsgpes9blue
Термоусадочная трубка PES 9,5мм (3/8', зелен;dsgpes9green
Термоусадочная трубка PES 9,5мм (3/8', красн;dsgpes9red
Термоусадочная трубка PES 9,5мм (3/8', желта;dsgpes9yellow
105Se - PRINTHEAD 203dpi термоголовка;edu44000M
S600 - PRINTHEAD Kit 208dpi термоголовка;edu44998M
elc-147306 Инструментальная сумка-ролл (двухслойная, 14 ячеек);elc-147306
ADAPTAFLEX  AT21/050/SA/BLB  фитинг 21мм типа SA-Adaptalok ATS Blue, цвет - black/blue (упаковка 10 ;elc-AT21/050/SA/BLB
ADAPTAFLEX  AT34/100/SA/BLB  фитинг 34мм типа SA-Adaptalok ATS Blue, цвет - black/blue (упаковка 10 ;elc-AT34/100/SA/BLB
ADAPTAFLEX  AT34/100/SFA/BLB  фитинг 34мм типа SFA-Adaptalok ATS Blue, цвет - black/blue (упаковка 1;elc-AT34/100/SFA/BLB
ADAPTAFLEX  PICH21/BL/50M  трубка гофрированная, цвет - black (упаковка 50м);elc-PICH21/BL/50M
ADAPTAFLEX  PICH34/BL/25M  трубка гофрированная, цвет - black (упаковка 25м);elc-PICH34/BL/25M
ADAPTAFLEX  PICH42/BL/25M  трубка гофрированная, цвет - black (упаковка 25м);elc-PICH42/BL/25M
ADAPTAFLEX  SPL20/E  защита 20мм, латунь, покрытие - никель, цвет - silver (упаковка 10 шт.);elc-SPL20/E
ADAPTAFLEX  SPL20/M20/M  фитинг прямой 20мм, латунь, покрытие - никель, цвет - silver (упаковка 10 ш;elc-SPL20/M20/M
ADAPTAFLEX  SPL32/M32/M  фитинг прямой 32мм, латунь, покрытие - никель, цвет - silver (упаковка 2 шт;elc-SPL32/M32/M
ADAPTAFLEX  SPLHC20/25M  металлорукав (упаковка 25м);elc-SPLHC20/25M
ADAPTAFLEX  SPLHC32/25M  металлорукав (упаковка 25м);elc-SPLHC32/25M
Damar-Hagen Кабельный разъём BNC, диам.6мм / 0,6 / 3,7 / RG 59;elc1-4252-2100-1
Damar-Hagen Кабельный разъём BNC угловой, диам.6мм / 0,6 / 3,7 / RG 59;elc1-4661-2101-1
GLENAIR 10-40556-08G10 Розеточный контакт промышленного разъёма;elc10-40556-08G10
GLENAIR 10-40556-15G10 Розеточный контакт промышленного разъёма;elc10-40556-15G10
GLENAIR 10-40556-20G10 Розеточный контакт промышленного разъёма;elc10-40556-20G10
GLENAIR 10-40556-26G10 Розеточный контакт промышленного разъёма;elc10-40556-26G10
GLENAIR 10-40557-08G10 Штыревой контакт промышленного разъёма;elc10-40557-08G10
GLENAIR 10-40557-20G10 Штыревой контакт промышленного разъёма;elc10-40557-20G10
GLENAIR 10-40557-26G10 Штыревой контакт промышленного разъёма;elc10-40557-26G10
GLENAIR 10-40560-38G10 Розеточный контакт промышленного разъёма;elc10-40560-38G10
CET-F80-16 Механичекий инструмент Cannon для извлечения  PIN-контактов разм. #16 из пром. разъёма;elc121086-0081
CIT-F80-16 Механический инструмент Cannon  для установки PIN-контакта разм. #16 в пром. разъём;elc121086-0097
Damar-Hagen Пластиковый гибкий ребристый хвостовик под разъём BNC на кабель диам. 6мм;elc2-1521-3331-2
226-1017-000 Направляющая для установки контакта PIN в промышленный разъём Cannon;elc226-1017-000
256-30695-1159 THOMAS-BETTS Медный трубчатый кабельный наконечник ном. счеч. 4 AWG (20-25 мм2) с дву;elc256-30695-1159
Лазерная маркировочная установка FOIL Star 300, оснащённую DPSS -Nd:YAG-лазером DPL Nexus Marker.;elc271211FOIL
Система очистки воздуха производства TBH LN-230ZA;elc281211TBH
PFISTERER 305016401 Соединитель угловой AF01;elc305016401
PFISTERER 305016402 Соединитель угловой AF02;elc305016402
PFISTERER 305016403 Соединитель угловой AF03;elc305016403
PFISTERER 305 017-001 Набор экранов P3 угловой разъем 2-жильный AF01;elc305017-001
PFISTERER 305 017-002  Набор экранов P3 угловой разъем 2-жильный AF02;elc305017-002
PFISTERER 305 017-003 Набор экранов P3 угловой разъем 2-жильный AF03;elc305017-003
PFISTERER 305 017-004 Набор экранов P3 угловой разъем 2-жильный AF04;elc305017-004
PFISTERER 305 017-005 Набор экранов P3 угловой разъем AF05;elc305017-005
PFISTERER 305018008 комплект крепления экрана P3 AF08;elc305017008.
PFISTERER 305018009 комплект крепления экрана P3 AF09;elc305017009.
PFISTERER 305018010 комплект крепления экрана P3 AF10;elc305017010.
PFISTERER 305 018-005 Набор экранов P3 угловой разъем AF05;elc305018-005
PFISTERER 305018001 комплект крепления экрана P3EC1 AF01;elc305018001
PFISTERER 305018001 комплект крепления экрана P3EC1 AF01;elc305018001.
PFISTERER 305018002 комплект крепления экрана P3EC1 AF02;elc305018002
PFISTERER 305018002 комплект крепления экрана P3EC1 AF02;elc305018002.
PFISTERER 305018003 комплект крепления экрана P3 AF03;elc305018003.
PFISTERER 305018004 комплект крепления экрана P3 AF04;elc305018004.
PFISTERER 305018005 комплект крепления экрана P3 AF05;elc305018005.
PFISTERER 305018006 комплект крепления экрана P3 AF06;elc305018006.
PFISTERER 305018007 комплект крепления экрана P3 AF07;elc305018007.
PFISTERER 305018101 комплект крепления экрана P2EC1 AF01;elc305018101
PFISTERER 305018101 комплект крепления экрана P2EC1 AF01;elc305018101.
PFISTERER 305 322-005 Соединитель угловой AF05;elc305322-005
PFISTERER 305 322-006 Соединитель угловой AF06;elc305322-006
PFISTERER 305322005 P3 соединитель угловой AF05, D=20.3мм, 120 мм2, flex;elc305322005.
PFISTERER 305322006 P3 соединитель угловой AF06, D=20.3мм, 120 мм2, flex;elc305322006.
PFISTERER 305 990-001 00205 Штепсельная вилка  AF03;elc305990-00100205
PFISTERER 305 990-001 00251 Штепсельная вилка  AF04;elc305990-00100251
PFISTERER  305 990-001 00274 Штепсельная вилка  AF05;elc305990-00100274
PFISTERER Штепсельная вилка  AF05;elc305990-00100275
PFISTERER 305990001 VAR.0099 P3EC1 соединитель угловой AF01, 240 мм2;elc305990001VAR0099
PFISTERER 305990001 VAR.0099 P3EC1 соединитель угловой AF01, 240 мм2;elc305990001VAR0099.
PFISTERER 305990001 VAR.0100 P3EC1 соединитель угловой AF02, 240 мм2;elc305990001VAR0100
PFISTERER 305990001 VAR.0100 P3EC1 соединитель угловой AF02, 240 мм2;elc305990001VAR0100.
PFISTERER 305990001 VAR.0267 P2EC1 соединитель угловой AF01, 25 мм2;elc305990001VAR0267
PFISTERER 305990001 VAR.0267 P2EC1 соединитель угловой AF01, 25 мм2;elc305990001VAR0267.
PFISTERER 305990001 VAR.0377 P3 соединитель угловой AF09, 120 мм2, двойной;elc305990001VAR0377.
PFISTERER 305990001 VAR.0378 P3 соединитель угловой AF10, 120 мм2, двойной;elc305990001VAR0378.
PFISTERER 305990001 VAR.0488 P3 соединитель угловой AF01, 185 мм2;elc305990001VAR0488.
PFISTERER 305990001 VAR.0489 P3 соединитель угловой AF02, 185 мм2;elc305990001VAR0489.
PFISTERER 305990001 VAR.0490 P3 соединитель угловой AF03, 185 мм2;elc305990001VAR0490.
PFISTERER 305990001 VAR.0491 P3 соединитель угловой AF04, 185 мм2;elc305990001VAR0491.
PFISTERER 305990001 VAR.0492 P3 соединитель угловой AF05, 185 мм2;elc305990001VAR0492.
PFISTERER 305990001 VAR.0493 P3 соединитель угловой AF06, 185 мм2;elc305990001VAR0493.
PFISTERER 305990001 VAR.0494 P3 соединитель угловой AF07, 185 мм2;elc305990001VAR0494.
PFISTERER 305990001 VAR.0495 P3 соединитель угловой AF08, 185 мм2;elc305990001VAR0495.
PFISTERER 305990001 VAR.0499 P2 соединитель угловой AF01, 25 мм2;elc305990001VAR0499.
610308 Высоковольтный ёмкостной указатель напряжения;elc610308
KR10-10 Медный трубчатый кабельный наконечник для многопроволочных жил, ном. сеч. 10мм2, под болт М1;elc7301-012000
KRF35-10 Медный трубч. кабельный наконечник для многопроволочных жил, ном. сеч. 35мм2, под болт М10;elc7301-013300
KRF35-12 Медный трубч. кабельный наконечник для многопроволочных жил, ном. сеч. 35мм2, под болт М12;elc7301-013400
KR10-12 Медный трубчатый кабельный наконечник для многопроволочных жил, ном. сеч. 10мм2, под болт М1;elc7301-016300
KRFN120-10 Медный трубчатый кабельный наконечник для многопроволочных жил, узкая площадка, ном. сеч.;elc7301-436400
KRFN120-12 Медный трубчатый кабельный наконечник для многопроволочных жил, узкая площадка, ном. сеч.;elc7301-436500
KRFN150-12 Медный трубчатый кабельный наконечник для многопроволочных жил, узкая площадка, ном. сеч.;elc7301-436900
750357 Переносное заземление;elc750357
M22520/1-01 MS/CA Ручной механический инструмент Cannon для обжима PIN-контактов;elc995-0001-585
Ручной инструмент для обжима контактов AF8;elcAF8
Промышленный соединитель ITT Cannon CIRG06RGG18-1S-F80-T12-M20X1,5F;elcCIRG06RGG18-1S-F80-T12-M20x1.5F
Промышленный соединитель ITT Cannon CIRG06RGG18-20S-F80-T12-M20X1,5F;elcCIRG06RGG18-20S-F80-T12-M20x1.5F
Инструмент для установки контактов DAK168-16;elcDAK168-16
Крышка для штекера Inotec Electronics DGA09BP-RC2;elcDGA09BP-RC2
Корпус штекера Inotec Electronics DGA09M11-C103;elcDGA09M11-C103
Кабельный зажим для штекера Inotec Electronics DKS100;elcDKS100
Инструмент для извлечения  контактов DRK96;elcDRK96
GLENAIR FRITS41030R28-21PB0N12F6 вилка;elcFRITS41030R28-21PB0N12F6
GLENAIR FRITS4106R24-07SB0N12F6 розетка;elcFRITS4106R24-07SB0N12F6
GLENAIR FRITS4106R28-21SB0N12F6 розетка;elcFRITS4106R28-21SB0N12F6
GLENAIR IT-40460-28 Прокладка для промышленного разъёма;elcIT-40460-28
GLENAIR IT-S4102A18-20P штекер;elcIT-S4102A18-20P
GLENAIR IT-S4102A28-21P штекер;elcIT-S4102A28-21P
GLENAIR IT-S4102R18-1P штекер;elcIT-S4102R18-1P
GLENAIR IT-S4102R24-07P штекер;elcIT-S4102R24-07P
GLENAIR IT-S4126R28-21S розетка;elcIT-S4126R28-21S
GLENAIR IT-SG4106RGG18-1SB1FM20 розетка;elcIT-SG4106RGG18-1SB1FM20
GLENAIR IT-SG4106RGG18-20SB1FM20 штекер;elcIT-SG4106RGG18-20SB1FM20
Комплект : Компрессор маслянный JUN-AIR 18-40, фильтр JUN-AIR DH АС -0003G 4070500, система сбора ко;elcJUN-Air
Сканер штрих-кода LS2208 черный, кабель RS232, подставка, блок питания (LS2208 Black (with Stand) Se;elcLS2208-7AZR0100ER
Направляющая для установки контакта;elcM125001
Пресс-клещи CRB 0560 для клеммных наконечников 0.5-6.0 мм2;elcPM-4300-0313
TH452 MS/CA Позиционирующая вставка (локатор) в обжимной инструмент Cannon для Pin-контактов;elcTH452
Установочная вставка  TH712 в обжимной инструмент;elcTH712
"Комплект : компьютер НР Pro3500, дисплей LCD 21.5&quot;, Zyxel  GS1100-16,  Datacom CAT6, FTP, 5m, серый";elcНРPro3500
вал ведущий;els 225 5020-17.01-010-01 вал ведущий
Насос;els А10VNO85DRS/53L-XSD12N00-S2756
насос;els А10VNO85DRS/53L-XSD12N00-S2756 насос
фильтр предварительной  очистки 305;els201003
фильтр тонкой очистки;els201005
фильтр с активным углем;els201006
Вал ведущий;els225 5020-17.01.010-01
Коробка передач;els225 60 -7 .00.000
Коробка передач;els225 6010-17 .00.000
Вал ведущий;els225 s02D-t7.01-010-01
коробка передач;els28 Г 6010-17 .00.000 коробка передач зав.№13008
сканирующая головка в сборе для FoilStar300;els40304002
механизм переключения передач;els7 44P - 17.O2.OOO.1
Механизм переключения передач;els744P- 17.O2.OOO-1
механизм переключения передач;els744P- 17.O2.OOO-1 механизм переключения передач
насос;elsVNO85DRS/53L-XSD 12N00-S2756
Рукав высокого давления, 2м;eql001
П/муфта к насосу;eql002
П/муфта к инструменту;eql003
Адаптер к манометру;eql004
Манометр, 700 бар, диаметр 63 мм;eql005
Штифт (1 пара);eqlM16
Штифт (1 пара);eqlM20
Штифт (1 пара);eqlM24
Штифт (1 пара);eqlM30
Штифт (1 пара);eqlM33
Штифт (1 пара);eqlM36
Штифт (1 пара);eqlM39
Штифт (1 пара);eqlM42
Штифт (1 пара);eqlM45
Штифт (1 пара);eqlM60
Штифт (1 пара);eqlM64
Штифт (1 пара);eqlM70
Резиновый протектор для SPT 1550;equ21-36173-01
Коммуник. однослотовая подставка RS232 с возможностью подзаряда аккумулятора;equCRD1500-101S
Лицензия на терминал Rt;equOMNI-RT
Лицензия на ПО OMNI-L3;equOMNI-RT-L3
Лента PM-ARO синий (25мм*33м);equPM-AROblue
Лента PM-ARO красная (25мм*33м);equPM-AROred
Лента PM-PBT(красная (25мм*33м);equPM-PBTred
Терминал сбора данных Symbol SPT 1550 с 8 мб ОЗУ 4 мб ПЗУ;equSPT1550-TRG80400
SW SPT-программа инвентаризации для ТСД Symbol SPT;equSWSPTIA
Принтер с термотрансферной печатью TLP2844PS;equTPL2844PS
Намотчик Zebra 90Xill Media Rewind Spindle Kit;equplt1
Пластиковый контейнер DMC (AGF-0-10 mm), диаметр (1-2 mm) в упак.4000шт.;favAGF-0-10
Пластиковый контейнер DMC (AGF-0-15 mm), диаметр (1-2 mm) в упак.2500шт.;favAGF-0-15
Пластиковый контейнер DMC (AGF-0-30 mm), диаметр (1-2 mm) в упак.500шт.;favAGF-0-30
Пластиковый контейнер DMC (AGF-1-10 mm), диаметр (1,8-2,5 mm) в упак.4000шт.;favAGF-1-10
Пластиковый контейнер DMC (AGF-1-15 mm), диаметр (1,8-2,5 mm) в упак.2500шт.;favAGF-1-15
Пластиковый контейнер DMC (AGF-1-30 mm), диаметр (1,8-2,5 mm) в упак.500шт.;favAGF-1-30
Пластиковый контейнер DMC (AGF-2-10 mm), диаметр (2-4,1 mm) в упак.4000шт.;favAGF-2-10
Пластиковый контейнер DMC (AGF-2-15 mm), диаметр (2-4,1 mm) в упак.2500шт.;favAGF-2-15
Пластиковый контейнер DMC (AGF-2-16мм), диаметр от 1 до 4.1мм. В упаковке 2500шт.;favAGF-2-16
Пластиковый контейнер DMC (AGF-2-30 mm), диаметр (2-4,1 mm) в упак.500шт.;favAGF-2-30
"Пластиковый контейнер DMC (AGF-2-50мм), диаметр от 1 до 4.1мм. В упаковке 300шт.&quot;";favAGF-2-50
Пластиковый контейнер DMC (AGF-3-10 mm), диаметр (4-6,8 mm) в упак.3000шт.;favAGF-3-10
Пластиковый контейнер DMC (AGF-3-15 mm), диаметр (4-6,8 mm) в упак.1500шт.;favAGF-3-15
"Пластиковый контейнер DMC (AGF-3-16мм), диаметр от 4 до 6.8мм. В упаковке 1000шт.&quot;";favAGF-3-16
Пластиковый контейнер DMC (AGF-3-30 mm), диаметр (4-6,8 mm) в упак.300шт.;favAGF-3-30
"Пластиковый контейнер DMC (AGF-3-50мм), диаметр от 4 до 6.8мм. В упаковке 200шт.&quot;";favAGF-3-50
Пластиковый контейнер DMC (AGF-4-10 mm), диаметр (6-9,5 mm) в упак.750шт.;favAGF-4-10
Пластиковый контейнер DMC (AGF-4-15 mm), диаметр (6-9,5 mm) в упак.500шт.;favAGF-4-15
"Пластиковый контейнер DMC (AGF-4-16мм), диаметр от 6 до 9.5мм. В упаковке 500шт.&quot;";favAGF-4-16
Пластиковый контейнер DMC (AGF-4-30 mm), диаметр (6-9,5 mm) в упак.300шт.;favAGF-4-30
"Пластиковый контейнер DMC (AGF-4-50мм), диаметр от 6 до 9.5мм. В упаковке 150шт.&quot;";favAGF-4-50
Пластиковый контейнер DMC (AGF-5-10 mm), диаметр (9,6-13,5 mm) в упак.300шт.;favAGF-5-10
Пластиковый контейнер DMC (AGF-5-15 mm), диаметр (9,6-13,5 mm) в упак.400шт.;favAGF-5-15
"Пластиковый контейнер DMC (AGF-5-16мм), диаметр от 9.6 до 13.5мм. В упаковке 400шт.&quot;";favAGF-5-16
Пластиковый контейнер DMC (AGF-5-30 mm), диаметр (9,6-13,5 mm) в упак.200шт.;favAGF-5-30
"Пластиковый контейнер DMC (AGF-5-50мм), диаметрот 9.6 до 13.5мм. В упаковке 150шт.&quot;";favAGF-5-50
Пластиковый контейнер DMC (AGF-6-15 mm), диаметр (13,6-21,5 mm) в упак.150шт.;favAGF-6-15
"Пластиковый контейнер DMC (AGF-6-16мм), диаметр от 13.6 до 21.5мм. В упаковке 150шт.&quot;";favAGF-6-16
Пластиковый контейнер DMC (AGF-6-30 mm), диаметр (13,6-21,5 mm) в упак.50шт.;favAGF-6-30
"Пластиковый контейнер DMC (AGF-6-50мм), диаметр от 13.6 до 21.5мм. В упаковке 25шт.&quot;";favAGF-6-50
