ID;Название;Сечение
139398;PMP-K 50/16 Термоус.трубка с клеем;
139399;PMP-K 63/19 Термоус.трубка с клеем;
139400;"Набор ТУТ &quot;Авто&quot;";
139401;"Набор ТУТ &quot;Колор №1&quot;";
139402;"Набор ТУТ &quot;Колор №2&quot;";
139403;"Набор ТУТ &quot;Колор 1 синий&quot;";
139404;"Набор ТУТ &quot;Колор 1 красный&quot;";
139405;"Набор ТУТ &quot;Колор 2 синий&quot;";
139406;"Набор ТУТ &quot;Колор 2 красный&quot;";
139407;"Набор ТУТ &quot;Электро&quot;";
139408;"Набор ТУТ &quot;Кримп № 1&quot;";
139409;"Набор ТУТ &quot;Кримп № 2&quot;";
139410;"Набор ТУТ &quot;Кримп № 3&quot;";
139411;"Набор ТУТ &quot;Мастер&quot;";
139412;"Набор ТУТ &quot;Сплайс № 1&quot;";
139413;"Набор ТУТ &quot;Сплайс № 2&quot;";
139414;"Набор ТУТ &quot;Сплайс № 3&quot;";
139415;Термоусадочная трубка F-105 76,0мм черная;
139416;Термоусадочная трубка DERAY-HB 19,0мм (3/4', черн);
139417;"Термоусадочная трубка DERAY-HB 25,4мм (1&quot;, черн)";
139418;Термоусадочная трубка 38мм (синяя) PBF  38,0;
139419;Термоусадочная трубка 76,0мм (зелен) PBF  76,0/38;
139420;Термоусадочная трубка PES 19,0мм (3/4', крас;
139421;Термоусадочная трубка PES 9,5мм (3/8', синяя;
139422;Термоусадочная трубка PES 9,5мм (3/8', зелен;
139423;Термоусадочная трубка PES 9,5мм (3/8', красн;
139424;Термоусадочная трубка PES 9,5мм (3/8', желта;
139425;105Se - PRINTHEAD 203dpi термоголовка;
139426;S600 - PRINTHEAD Kit 208dpi термоголовка;
139427;elc-147306 Инструментальная сумка-ролл (двухслойная, 14 ячеек);
139428;ADAPTAFLEX  AT21/050/SA/BLB  фитинг 21мм типа SA-Adaptalok ATS Blue, цвет - black/blue (упаковка 10 ;
139429;ADAPTAFLEX  AT34/100/SA/BLB  фитинг 34мм типа SA-Adaptalok ATS Blue, цвет - black/blue (упаковка 10 ;
139430;ADAPTAFLEX  AT34/100/SFA/BLB  фитинг 34мм типа SFA-Adaptalok ATS Blue, цвет - black/blue (упаковка 1;
139431;ADAPTAFLEX  PICH21/BL/50M  трубка гофрированная, цвет - black (упаковка 50м);
139432;ADAPTAFLEX  PICH34/BL/25M  трубка гофрированная, цвет - black (упаковка 25м);
